col_parc	period	plot	site	x	y	seeds	seedsp	euterpe	sloanea	virola	seedl	seedlsp	seedl_NI	seedlsurv	eut.seedl	slo.seedl	vir.seedl	nivel	photo	vissky	isf	isfu	dsf	dsfu	gsf	gsfu	difbe	difbeu	dirbe	dirbeu	totbe	totbeu	lai	eladp	mla	gndcover	laidev	pH_H2O	pH_KCl	pH_Cacl2	MO	P	Na	K	Ca	Mg	Al	H+Al	SB	T	Vpct	mpct	vcs	cs	ms	fs	vfs	sandpct	siltpct	claypct	natclay	dens_gcm3	phi_r	phi_s	alfa	m	n	S
25	D	A7	NB	202959.41	7322662.95	168	11	0	0	0	72	5	2	48	0	0	0	8	DSCN7481	0.051	0.101	0.069	0.115	0.097	0.107	0.079	583	680	494	569	1078	1249	5.188	0.293	79	0.607	3.6880	3.80	3.75	3.600	40.5	11.5	0.7	1.65	6.0	1.5	20.5	90.0	9.85	99.85	9.5	69.0	20.5	17.0	7.0	9.0	3.0	56.5	14.0	29.5	2.0	1.13	0.14	0.56	1.07	0.12	1.14	0.03
26	D	A6	NB	202949	7322651.17	128	5	0	0	0	16	4	0	12	0	0	0	9	DSCN7479	0.050	0.083	0.063	0.076	0.068	0.080	0.065	480	620	327	399	807	1020	3.266	1.455	46	0.870	2.0856	4.00	3.80	3.750	48.0	9.5	0.7	2.55	10.5	4.0	18.5	93.0	17.70	110.70	14.5	57.0	17.0	16.5	8.0	9.5	3.0	54.0	13.5	32.5	4.5	1.13	0.15	0.56	0.98	0.14	1.16	0.04
27	D	B6	NB	202947.02	7322632.21	1300	13	0	12	0	56	6	4	52	4	0	0	7	DSCN7478_2	0.052	0.089	0.066	0.122	0.105	0.103	0.080	513	650	523	619	1035	1268	3.422	1.159	52	0.847	2.6440	3.85	3.85	3.700	42.0	8.0	0.4	1.85	4.5	2.5	22.0	90.0	9.20	99.20	8.0	74.0	14.5	18.0	9.0	11.5	3.5	56.5	13.0	30.5	3.0	1.13	0.14	0.57	0.96	0.13	1.16	0.04
28	D	C7	NB	202968.49	7322619.48	496	12	0	0	0	4	1	0	4	0	0	0	3	DSCN7591	0.040	0.073	0.052	0.095	0.082	0.082	0.063	424	519	407	480	831	999	3.848	1.028	56	0.859	2.4880	3.85	3.80	3.750	44.0	12.5	0.6	1.90	6.0	2.5	24.0	86.5	10.95	97.45	10.0	72.5	17.0	15.5	10.0	12.0	4.0	58.5	16.5	25.0	1.0	1.13	0.12	0.58	1.02	0.10	1.12	0.03
29	D	D2	NB	202914.95	7322549.53	228	14	0	84	4	140	6	3	96	4	28	0	1	DSCN7467_2	0.044	0.073	0.055	0.107	0.092	0.087	0.069	420	544	458	542	878	1086	3.566	1.334	49	0.881	2.4785	3.75	3.90	3.800	52.5	11.5	0.6	1.80	6.0	4.0	17.5	72.0	12.40	84.40	13.5	62.0	23.5	23.0	10.5	8.5	3.5	69.0	10.0	21.0	7.0	1.13	0.13	0.55	1.93	0.05	1.05	NA
30	D	D0	NB	202883.35	7322532.2	376	18	0	0	0	28	4	1	20	0	0	0	4	DSCN7515	0.062	0.092	0.074	0.094	0.087	0.093	0.079	531	734	403	510	934	1244	2.730	2.526	32	0.884	1.5147	3.95	3.70	3.700	25.5	15.5	0.9	2.35	2.5	4.5	29.5	113.0	10.20	123.20	11.0	68.5	9.5	12.5	10.0	13.5	3.5	49.0	13.5	37.5	3.0	1.13	0.16	0.57	0.75	0.16	1.20	0.04
31	D	E0	NB	202874.84	7322515.73	308	12	0	8	0	48	5	2	36	0	0	0	3	DSCN7586	0.055	0.079	0.065	0.086	0.092	0.082	0.075	455	643	369	541	824	1184	2.857	2.652	31	0.898	2.0229	3.90	3.80	3.800	55.0	6.5	1.1	3.00	3.0	3.5	25.0	97.5	10.60	108.10	9.0	73.0	15.0	14.0	10.0	10.5	3.0	52.5	12.5	35.0	3.0	1.13	0.16	0.56	0.87	0.15	1.19	0.04
32	D	C0	NB	202859.23	7322534.8	456	16	4	40	0	40	5	2	40	0	0	0	5	DSCN7516	0.077	0.129	0.097	0.155	0.144	0.140	0.114	748	957	664	847	1412	1804	2.822	1.172	52	0.790	1.5894	3.90	3.85	3.800	31.5	7.5	0.7	2.20	12.0	5.5	27.5	98.0	20.35	118.35	15.5	61.5	11.0	13.0	9.5	9.0	2.0	44.5	19.0	36.5	4.5	1.13	0.13	0.57	0.70	0.17	1.21	0.05
33	D	E0	NB	202876.07	7322506.4	176	10	0	0	0	24	4	1	24	0	0	0	3	DSCN7517	0.065	0.080	0.072	0.088	0.088	0.084	0.078	465	714	378	518	843	1233	2.605	4.562	19	0.905	2.0049	3.90	3.80	3.800	55.0	6.5	1.1	3.00	3.0	3.5	25.0	97.5	10.60	108.10	9.0	73.0	15.0	14.0	10.0	10.5	3.0	52.5	12.5	35.0	3.0	1.13	0.16	0.56	0.87	0.15	1.19	0.04
34	D	C0	NB	202866.9	7322554.03	2972	11	0	4	0	20	4	1	12	4	0	0	5	DSCN7514	0.073	0.130	0.094	0.110	0.103	0.122	0.097	754	929	471	602	1225	1531	3.410	0.668	66	0.719	2.4874	5.00	4.15	4.350	19.5	8.0	0.5	2.10	9.5	2.5	2.5	36.0	14.60	50.60	28.0	17.0	13.0	22.0	18.0	15.0	4.5	72.5	15.5	12.0	5.0	1.13	0.08	0.58	1.49	0.04	1.04	0.01
