col_parc	period	plot	site	x	y	seeds	seedsp	euterpe	sloanea	virola	seedl	seedlsp	seedlsurv	eut.seedl	slo.seedl	vir.seedl	nivel	pH_H2O	pH_KCl	pH_Cacl2	MO	P	Na	K	Ca	Mg	Al	H+Al	SB	T	Vpct	mpct	vcs	cs	ms	fs	vfs	sandpct	siltpct	claypct	natclay	dens_gcm3	phi_r	phi_s	alfa	m	n	S
34	M	H11 	B	203103.06	7322557.12	13	6	0	0	0	8	8	6	0	1	1	2	4.30	3.40	3.50	46.0	29.0	1.10	5.00	8.0	10.0	17.0	143.0	24.10	167.10	14.0	41.0	10.0	15.0	12.0	8.0	2.0	47.0	17.0	36.0	19.0	0.99	0.15	0.62	1.06	0.12	1.14	0.04
35	M	C13	B	203075.61	7322684.87	28	16	6	0	0	12	11	10	2	0	0	4	3.85	3.70	3.70	26.5	8.5	0.70	2.95	20.0	7.5	21.0	92.0	31.15	123.15	21.5	49.0	15.5	14.5	6.0	6.0	1.5	43.5	15.5	41.0	9.5	1.13	0.16	0.56	0.75	0.19	1.24	0.05
36	M	C15	B	203125.12	7322696.90	32	6	25	0	0	25	3	11	22	0	0	3	3.90	3.75	3.70	21.0	8.5	0.70	1.85	5.5	3.5	24.0	84.5	11.55	96.05	11.0	70.0	16.0	12.5	6.0	6.0	2.5	43.0	13.5	43.5	8.5	1.13	0.17	0.56	0.68	0.21	1.26	0.05
37	M	C0 	NB	202865.91	7322543.33	64	13	4	0	0	9	6	8	2	0	0	5	3.90	3.85	3.80	31.5	7.5	0.65	2.20	12.0	5.5	27.5	98.0	20.35	118.35	15.5	61.5	11.0	13.0	9.5	9.0	2.0	44.5	19.0	36.5	4.5	1.13	0.13	0.57	0.70	0.17	1.21	0.05
38	M	F0	B	202891.27	7322493.17	50	7	0	0	0	9	8	9	2	0	1	2	4.10	3.95	4.00	51.0	11.5	1.35	2.70	23.5	9.5	10.0	58.0	37.05	95.05	34.5	29.0	24.0	16.5	9.0	9.0	2.5	61.0	10.5	28.5	11.0	1.13	0.15	0.55	1.25	0.11	1.12	0.03
39	M	F1	B	202906.84	7322504.91	37	9	1	0	0	7	5	7	0	0	0	3	3.80	3.75	3.70	56.5	9.5	1.15	2.80	8.0	4.0	26.0	86.5	15.95	102.45	15.0	64.0	18.0	14.5	8.0	9.5	3.5	53.5	8.5	38.0	6.0	1.13	0.18	0.55	0.94	0.17	1.21	0.04
40	M	G0	B	202894.84	7322480.49	47	13	8	0	0	7	4	7	4	0	0	2	4.00	3.75	3.70	39.5	16.5	1.55	4.50	19.5	11.0	19.5	91.5	36.55	128.05	21.5	51.5	11.0	10.0	8.0	9.0	3.0	41.0	16.0	43.0	6.5	1.13	0.16	0.57	0.63	0.20	1.25	0.05
41	M	H1	B	202932.26	7322475.40	17	6	1	0	0	5	1	4	5	0	0	3	3.85	3.80	3.70	37.0	12.5	0.90	4.25	9.5	5.5	16.5	78.5	20.15	98.65	19.5	46.5	15.5	15.5	9.5	10.0	3.0	53.5	15.5	31.0	4.0	1.13	0.14	0.57	0.93	0.13	1.15	0.04
42	M	H1	B	202935.91	7322468.38	12	7	0	0	0	1	1	1	0	0	0	3	4.15	3.85	3.95	32.0	10.5	0.95	4.90	29.0	11.5	12.0	107.0	46.35	153.35	27.0	28.5	14.0	10.5	13.0	13.0	4.5	55.0	16.0	29.0	6.0	1.13	0.13	0.58	0.85	0.13	1.15	0.04
43	M	I1	B	202929.99	7322457.68	51	10	1	0	0	1	1	1	0	0	0	2	4.15	3.85	3.95	32.0	10.5	0.95	4.90	29.0	11.5	12.0	107.0	46.35	153.35	27.0	28.5	14.0	10.5	13.0	13.0	4.5	55.0	16.0	29.0	6.0	1.13	0.13	0.58	0.85	0.13	1.15	0.04
44	M	D3	NB	202914.76	7322565.30	128	14	2	20	0	3	3	3	0	0	0	1	3.85	3.70	3.65	42.0	15.0	1.10	2.65	8.0	7.0	28.0	130.5	18.75	149.25	11.0	64.5	11.0	12.5	11.5	11.0	3.5	49.5	16.5	34.0	6.5	1.13	0.14	0.57	0.78	0.15	1.18	0.04
45	M	E4	NB	202945.99	7322559.63	71	14	19	0	0	3	3	2	1	0	0	2	3.85	3.85	3.85	37.5	6.0	0.40	1.75	3.0	2.0	21.0	70.5	7.15	77.65	8.5	76.5	16.5	18.5	9.5	9.5	3.0	57.0	12.0	31.0	4.0	1.13	0.15	0.56	1.03	0.13	1.15	0.04
46	M	F4	NB	202953.28	7322536.35	69	14	4	0	0	4	4	4	0	0	0	2	3.95	3.75	3.70	47.5	8.5	0.75	1.95	7.5	5.0	24.5	78.0	15.20	93.20	14.5	64.5	19.0	20.0	9.5	9.5	3.5	61.5	10.0	28.5	7.0	1.13	0.15	0.55	1.20	0.12	1.14	0.03
47	M	H3	B	202956.62	7322501.21	12	5	0	0	0	4	4	4	1	0	0	2	3.70	3.80	3.70	30.5	7.5	0.50	1.35	5.5	3.5	22.0	73.0	10.85	83.85	12.0	69.0	19.0	14.5	9.0	9.5	3.5	55.5	11.0	33.5	4.0	1.13	0.16	0.56	0.95	0.15	1.17	0.04
48	M	G2	B	202940.25	7322510.14	480	14	3	0	0	4	4	4	1	0	0	3	3.80	3.60	3.55	51.0	25.0	1.15	4.60	18.0	12.0	29.5	132.5	35.75	168.25	19.0	50.5	12.0	13.0	11.0	10.0	3.0	49.0	16.5	34.5	5.5	1.13	0.14	0.57	0.78	0.16	1.19	0.04
49	M	H0	B	202904.93	7322466.49	123	23	3	0	0	14	7	9	6	0	1	3	3.80	3.60	3.55	55.0	19.5	1.50	5.25	24.5	14.0	20.0	66.0	45.25	111.25	39.0	38.5	13.0	11.5	9.5	13.0	3.5	50.5	17.0	32.5	3.0	1.13	0.13	0.57	0.78	0.15	1.18	0.05
50	M	K2	B	202977.81	7322432.47	68	10	1	0	0	6	2	4	4	0	0	2	4.20	3.90	3.95	34.5	10.5	0.65	3.55	31.0	10.0	8.5	78.0	45.20	123.20	33.5	23.0	16.5	16.5	7.5	9.0	1.5	51.0	14.5	34.5	7.5	1.13	0.15	0.56	0.89	0.15	1.18	0.04
51	M	J1	NB	202952.80	7322434.42	90	15	4	0	0	4	2	3	0	0	0	2	3.95	3.75	3.65	28.0	9.5	0.85	2.10	4.5	5.0	18.5	93.0	12.45	105.45	10.5	64.5	14.5	13.5	6.0	7.0	2.5	43.5	14.0	42.5	0.0	1.13	0.17	0.56	0.72	0.20	1.25	0.05
52	M	A6	NB	202938.30	7322647.04	24	9	0	0	0	0	0	0	0	0	0	9	3.85	3.90	3.75	39.5	5.0	0.60	1.90	3.0	2.0	18.0	73.5	7.50	81.00	9.0	72.5	22.5	20.0	10.0	11.0	3.0	66.5	13.5	20.0	2.0	1.13	0.11	0.57	1.74	0.04	1.05	NA
53	M	A7	NB	202960.40	7322661.32	184	17	8	0	0	7	5	6	3	0	0	8	3.80	3.75	3.60	40.5	11.5	0.70	1.65	6.0	1.5	20.5	90.0	9.85	99.85	9.5	69.0	20.5	17.0	7.0	9.0	3.0	56.5	14.0	29.5	2.0	1.13	0.14	0.56	1.07	0.12	1.14	0.03
54	M	B6	NB	202947.02	7322632.21	63	17	2	1	0	6	6	6	0	0	0	7	3.85	3.85	3.70	42.0	8.0	0.35	1.85	4.5	2.5	22.0	90.0	9.20	99.20	8.0	74.0	14.5	18.0	9.0	11.5	3.5	56.5	13.0	30.5	3.0	1.13	0.14	0.57	0.96	0.13	1.16	0.04
55	M	B7	NB	202974.14	7322628.50	70	15	1	0	0	12	3	11	0	0	0	9	3.85	3.80	3.75	44.0	12.5	0.55	1.90	6.0	2.5	24.0	86.5	10.95	97.45	10.0	72.5	17.0	15.5	10.0	12.0	4.0	58.5	16.5	25.0	1.0	1.13	0.12	0.58	1.02	0.10	1.12	0.03
56	M	D6	NB	202978.41	7322599.19	256	17	0	0	0	7	5	4	1	0	0	2	4.00	3.90	3.85	29.5	6.0	0.65	1.75	10.0	3.5	14.5	76.0	15.90	91.90	16.0	51.5	17.5	21.0	12.0	10.5	3.0	64.0	11.0	25.0	8.0	1.13	0.14	0.56	1.37	0.09	1.10	0.03
