col_parc	period	plot	site	x	y	seeds	seedsp	euterpe	sloanea	virola	seedl	seedlsp	seedl_NI	seedlsurv	eut.seedl	slo.seedl	vir.seedl	nivel	pH_H2O	pH_KCl	pH_Cacl2	MO	P	Na	K	Ca	Mg	Al	H+Al	SB	T	Vpct	mpct	vcs	cs	ms	fs	vfs	sandpct	siltpct	claypct	natclay	dens_gcm3	phi_r	phi_s	alfa	m	n	S
18	D	E15	B	203134.23	7322672.73	140	9	1	0	0	20	6	9	13	1	0	0	3	3.85	3.65	3.65	38	15	1	3.7	25	8.5	16	88	38.15	126.15	26	39.5	20.5	13.5	5.5	5.5	2	47	13.5	39.5	5	1.13	0.16	0.55	0.84	0.18	1.23	0.04
19	D	D14	B	203119.99	7322674.06	2366	10	0	0	0	12	5	4	9	3	0	0	2	3.85	3.65	3.65	38	15	1	3.7	25	8.5	16	88	38.15	126.15	26	39.5	20.5	13.5	5.5	5.5	2	47	13.5	39.5	5	1.13	0.16	0.55	0.84	0.18	1.23	0.04
20	D	C12	NB	203070.92	7322671.17	46	8	0	0	0	14	8	4	11	1	0	0	3	3.8	3.65	3.6	42	10	0.8	2.95	5	7	24.5	88	15.7	103.7	14	64	21	14	6.5	5.5	2.5	49.5	12.5	38	8.5	1.13	0.16	0.55	0.95	0.17	1.21	0.04
21	D	C15	B	203118.78	7322701.02	23	3	0	0	0	33	6	5	16	2	0	0	3	3.9	3.7	3.7	36	18	1.1	3.8	15.5	12.5	24.5	119	32.9	151.9	18.5	51.5	14	14.5	7.5	6.5	2.5	45	13	42	7.5	1.13	0.17	0.56	0.79	0.19	1.25	0.05
22	D	C10	NB	203036.57	7322664.22	113	15	0	3	0	13	8	3	13	0	0	0	5	3.95	3.85	3.7	43	7.5	0.8	2.25	2.5	4.5	24	94	10	104	9	73	16	13	7.5	8	2	46.5	12	41.5	1	1.13	0.18	0.56	0.76	0.19	1.24	0.05
23	D	B10	NB	203024.12	7322675.74	98	7	0	0	0	11	5	3	8	0	0	0	4	3.7	3.65	3.6	31.5	5.5	0.4	1.5	2.5	2	24.5	90.5	6.35	96.85	6.5	80.5	16	15	10.5	10.5	3.5	55.5	16	28.5	4	1.13	0.13	0.57	1.09	0.11	1.13	0.03
24	D	A10	NB	203005.02	7322680.67	746	12	0	1	0	11	4	4	10	0	0	0	5	3.9	3.65	3.6	35	13.5	0.5	1.75	3.5	2	23.5	90	7.75	97.75	7.5	76.5	22	21	10	10	3	66	11	23	3	1.13	0.13	0.56	1.67	0.07	1.08	NA
25	D	A7	NB	202959.41	7322662.95	47	12	0	0	0	18	5	2	12	0	0	0	8	3.8	3.75	3.6	40.5	11.5	0.7	1.65	6	1.5	20.5	90	9.85	99.85	9.5	69	20.5	17	7	9	3	56.5	14	29.5	2	1.13	0.14	0.56	1.07	0.12	1.14	0.03
26	D	A6	NB	202949	7322651.17	36	5	0	0	0	4	4	0	3	0	0	0	9	4	3.8	3.75	48	9.5	0.7	2.55	10.5	4	18.5	93	17.7	110.7	14.5	57	17	16.5	8	9.5	3	54	13.5	32.5	4.5	1.13	0.15	0.56	0.98	0.14	1.16	0.04
27	D	B6	NB	202947.02	7322632.21	331	15	0	3	0	14	6	4	13	1	0	0	7	3.85	3.85	3.7	42	8	0.4	1.85	4.5	2.5	22	90	9.2	99.2	8	74	14.5	18	9	11.5	3.5	56.5	13	30.5	3	1.13	0.14	0.57	0.96	0.13	1.16	0.04
28	D	C7	NB	202968.49	7322619.48	137	12	0	0	0	1	1	0	1	0	0	0	3	3.85	3.8	3.75	44	12.5	0.6	1.9	6	2.5	24	86.5	10.95	97.45	10	72.5	17	15.5	10	12	4	58.5	16.5	25	1	1.13	0.12	0.58	1.02	0.1	1.12	0.03
29	D	D2	NB	202914.95	7322549.53	60	15	0	21	1	35	6	3	24	1	7	0	1	3.75	3.9	3.8	52.5	11.5	0.6	1.8	6	4	17.5	72	12.4	84.4	13.5	62	23.5	23	10.5	8.5	3.5	69	10	21	7	1.13	0.13	0.55	1.93	0.05	1.05	NA
30	D	D0	NB	202883.35	7322532.2	109	20	0	0	0	7	4	1	5	0	0	0	4	3.95	3.7	3.7	25.5	15.5	0.9	2.35	2.5	4.5	29.5	113	10.2	123.2	11	68.5	9.5	12.5	10	13.5	3.5	49	13.5	37.5	3	1.13	0.16	0.57	0.75	0.16	1.2	0.04
31	D	E0	NB	202874.84	7322515.73	117	14	0	2	0	12	5	2	9	0	0	0	3	3.9	3.8	3.8	55	6.5	1.1	3	3	3.5	25	97.5	10.6	108.1	9	73	15	14	10	10.5	3	52.5	12.5	35	3	1.13	0.16	0.56	0.87	0.15	1.19	0.04
32	D	C0	NB	202859.23	7322534.8	115	16	1	10	0	10	5	2	10	0	0	0	5	3.9	3.85	3.8	31.5	7.5	0.7	2.2	12	5.5	27.5	98	20.35	118.35	15.5	61.5	11	13	9.5	9	2	44.5	19	36.5	4.5	1.13	0.13	0.57	0.7	0.17	1.21	0.05
33	D	E0	NB	202876.07	7322506.4	45	10	0	0	0	6	4	1	6	0	0	0	3	3.9	3.8	3.8	55	6.5	1.1	3	3	3.5	25	97.5	10.6	108.1	9	73	15	14	10	10.5	3	52.5	12.5	35	3	1.13	0.16	0.56	0.87	0.15	1.19	0.04
34	D	C0	NB	202866.9	7322554.03	781	12	0	1	0	5	4	1	3	1	0	0	5	5	4.15	4.35	19.5	8	0.5	2.1	9.5	2.5	2.5	36	14.6	50.6	28	17	13	22	18	15	4.5	72.5	15.5	12	5	1.13	0.08	0.58	1.49	0.04	1.04	0.01
35	D	F1	B	202905.79	7322502.41	232	11	0	0	1	9	6	1	8	1	0	0	3	3.8	3.75	3.7	56.5	9.5	1.2	2.8	8	4	26	86.5	15.95	102.45	15	64	18	14.5	8	9.5	3.5	53.5	8.5	38	6	1.13	0.18	0.55	0.94	0.17	1.21	0.04
36	D	G0	B	202893.99	7322478.22	78	9	0	0	0	14	6	2	7	2	0	0	2	4	3.75	3.7	39.5	16.5	1.6	4.5	19.5	11	19.5	91.5	36.55	128.05	21.5	51.5	11	10	8	9	3	41	16	43	6.5	1.13	0.16	0.57	0.63	0.2	1.25	0.05
37	D	H1	B	202934.59	7322482.18	45	11	0	0	0	24	10	4	14	4	0	0	3	3.85	3.8	3.7	37	12.5	0.9	4.25	9.5	5.5	16.5	78.5	20.15	98.65	19.5	46.5	15.5	15.5	9.5	10	3	53.5	15.5	31	4	1.13	0.14	0.57	0.93	0.13	1.15	0.04
38	D	J3	NB	202986.02	7322465.7	318	15	0	0	0	33	4	7	25	3	0	0	3	4.05	3.75	3.85	57.5	12.5	0.5	1.8	36	6	11	115.5	44.3	159.8	28	19	12	20.5	12.5	12.5	3.5	61	12.5	26.5	13	1.13	0.14	0.57	1.08	0.11	1.13	0.03
39	D	K3	B	203002.16	7322440.63	373	8	0	0	0	9	6	1	7	0	0	0	4	3.7	3.65	3.6	38.5	10.5	1	2.5	4.5	5.5	23.5	103.5	13.45	116.95	10.5	66.5	10.5	15.5	8	6.5	2	42.5	12	45.5	1	1.13	0.18	0.55	0.67	0.21	1.28	0.05
40	D	J4	NB	203001.7	7322467.33	73	16	3	0	1	10	5	1	9	0	1	0	3	4.05	3.75	3.85	57.5	12.5	0.5	1.8	36	6	11	115.5	44.3	159.8	28	19	12	20.5	12.5	12.5	3.5	61	12.5	26.5	13	1.13	0.14	0.57	1.08	0.11	1.13	0.03
41	D	K5 	B	203036.15	7322457.54	2777	7	1	0	0	26	5	19	13	1	0	0	1	3.65	3.45	3.45	57.5	26.5	1.6	3.95	18	11.5	32	146	35.05	181.05	18	51.5	9	12	8.5	8.5	2.5	40.5	14	45.5	6.5	1.13	0.18	0.57	0.64	0.21	1.27	0.05
42	D	K5 	B	203039	7322460.37	314	7	0	0	0	7	5	0	6	0	0	0	1	4	3.75	3.75	34.5	9	0.6	1.8	12.5	5.5	13.5	75.5	20.4	95.9	19	46.5	7	13.5	12	11	2.5	46	17	37	5.5	1.13	0.15	0.57	0.72	0.17	1.2	0.05
43	D	K7	NB	203060.84	7322491.14	171	10	0	0	0	11	7	2	7	2	0	0	2	3.8	3.55	3.5	42.5	15.5	1	3.7	8	5.5	26	125.5	18.2	143.7	11.5	63	15	18	8	11.5	2.5	55	19	26	0	1.28	0.1	0.53	0.68	0.16	1.19	0.04
44	D	L6	NB	203056.11	7322445.58	186	13	0	1	0	14	8	4	8		0	0	1	3.9	3.7	3.7	48.5	12.5	1.1	3.45	4.5	6	24.5	88	15	103	13	67	11	9.5	6.5	7	2	36	15.5	48.5	6.5	1.13	0.18	0.57	0.57	0.23	1.3	0.06
45	D	N6	NB	203076.25	7322429.07	182	14	1	0	1	10	6	3	8	2	0	0	2	4.65	3.95	4	43.5	8	1.3	2.8	31.5	9	9.5	86	44.55	130.55	33	20.5	9	13.5	9.5	11.5	2	45.5	18.5	36	11	1.13	0.14	0.58	0.69	0.17	1.21	0.05
46	D	N5 	B	203058.47	7322415.76	962	13	0	1	0	14	3	4	8	7	0	0	2	3.75	3.45	3.45	51	10	1.6	7.95	9.5	10.5	22.5	125.5	29.55	155.05	19	44	13	18	9	8.5	2.5	51	12.5	36.5	8	1.13	0.16	0.56	0.86	0.16	1.2	0.04
47	D	M4	B	203044.55	7322413.08	721	12	7	0	4	19	4	8	5	6	0	1	3	3.75	3.45	3.45	51	10	1.6	7.95	9.5	10.5	22.5	125.5	29.55	155.05	19	44	13	18	9	8.5	2.5	51	12.5	36.5	8	1.13	0.16	0.56	0.86	0.16	1.2	0.04
48	D	O4	B	203056.24	7322389.55	621	6	1	0	0	6	3	1	6	0	0	0	3	3.95	3.75	3.65	40.5	8	0.8	3.3	6	4.5	15.5	84.5	14.55	99.05	14	54	14	15.5	11.5	10.5	3.5	55	13	32	6	1.13	0.15	0.56	0.96	0.14	1.16	0.04
49	D	O4	B	203057.28	7322386.19	53	3	0	0	0	15	3	8	10	0	0	0	3	3.95	3.75	3.65	40.5	8	0.8	3.3	6	4.5	15.5	84.5	14.55	99.05	14	54	14	15.5	11.5	10.5	3.5	55	13	32	6	1.13	0.15	0.56	0.96	0.14	1.16	0.04
50	D	O5	B	203064.05	7322389.11	166	5	0	0	0	18	6	9	12	1	0	0	1	3.95	3.75	3.65	40.5	8	0.8	3.3	6	4.5	15.5	84.5	14.55	99.05	14	54	14	15.5	11.5	10.5	3.5	55	13	32	6	1.13	0.15	0.56	0.96	0.14	1.16	0.04
51	D	P5	B	203073.97	7322369.4	118	8	1	0	0	19	5	12	13	2	0	0	2	4.35	4	4	49.5	5	0.9	3.8	8.5	5.5	10.5	65	18.7	83.7	22.5	38.5	8	17	12.5	10.5	3	51	13	36	9	1.13	0.16	0.57	0.87	0.16	1.19	0.04
52	D	O6 	B	203080.25	7322406.96	4306	9	0	0	0	18	4	8	17	5	0	0	2	3.95	3.75	3.7	44.5	9	1	4.2	14.5	9	13.5	87	28.65	115.65	22	38.5	10	15	10.5	10	3	48.5	16.5	35	4	1.13	0.14	0.57	0.77	0.16	1.19	0.04
53	D	O6 	B	203091.91	7322393.08	71	12	0	0	0	15	5	7	12	0	0	1	2	4.15	3.8	3.8	36	8.5	0.7	4.5	6	5.5	14	71	16.7	87.7	19	46.5	8.5	15	13	11	4	51.5	16.5	32	7	1.13	0.13	0.57	0.81	0.14	1.17	0.04
54	D	I7	NB	203041.88	7322506.67	125	9	0	0	0	14	5	7	14	1	0	0	8	4	3.9	3.8	46	6	1.6	2.25	4.5	4	19	82.5	12.3	94.8	12.5	61.5	11	15	9	10	3	48	15	37	2	0.99	0.16	0.62	1.02	0.12	1.14	0.05
55	D	I5	NB	203007.64	7322503.99	39	7	0	0	0	7	4	1	6	0	0	0	2	4.45	3.9	3.95	35.5	5.5	0.4	1.75	13.5	4.5	9.5	73	20.15	93.15	19.5	40	17	20	8.5	9.5	2.5	57.5	9.5	33	6	1.13	0.16	0.55	1.33	0.13	1.16	0.03
56	D	I3	NB	202974.68	7322484.67	88	8	0	0	0	16	7	1	15	6	1	0	3	3.95	3.85	3.85	34.5	3	0.9	1.9	3	2	14.5	75.5	7.8	83.3	9	67.5	15	20.5	13	14.5	2.5	65.5	11	23.5	3	1.13	0.13	0.56	1.24	0.1	1.11	0.03
57	D	H3	NB	202960.24	7322492.8	65	13	2	0	0	17	2	5	8	0	0	0	2	3.7	3.8	3.7	30.5	7.5	0.5	1.35	5.5	3.5	22	73	10.85	83.85	12	69	19	14.5	9	9.5	3.5	55.5	11	33.5	4	1.13	0.16	0.56	0.95	0.15	1.17	0.04
58	D	F4	NB	202966.57	7322530.59	83	15	0	0	0	26	7	15	22	1	0	0	2	3.85	3.75	3.65	39.5	10	0.9	2.2	9	5	23	87	17.1	104.1	14.5	63	19	16	10	8	2.5	55.5	12.5	32	7	1.13	0.15	0.56	1.03	0.13	1.16	0.04
59	D	G2	NB	202941.43	7322507.81	269	14	0	0	0	9	3	2	7	2	0	0	3	3.8	3.6	3.55	51	25	1.2	4.6	18	12	29.5	132.5	35.75	168.25	19	50.5	12	13	11	10	3	49	16.5	34.5	5.5	1.13	0.14	0.57	0.78	0.16	1.19	0.04
60	D	F4	NB	202959.56	7322534.07	86	10	3	0	0	14	3	7	14	0	0	0	2	3.95	3.75	3.7	47.5	8.5	0.8	1.95	7.5	5	24.5	78	15.2	93.2	14.5	64.5	19	20	9.5	9.5	3.5	61.5	10	28.5	7	1.13	0.15	0.55	1.2	0.12	1.14	0.03
61	D	E4	NB	202943.65	7322558.68	289	10	0	0	0	6	2	3	4	0	0	0	2	3.85	3.85	3.85	37.5	6	0.4	1.75	3	2	21	70.5	7.15	77.65	8.5	76.5	16.5	18.5	9.5	9.5	3	57	12	31	4	1.13	0.15	0.56	1.03	0.13	1.15	0.04
