block	mhab	sow	add	excl	germ	s.unk	s.path	sdl.unk	sdl.herb	sdl.drought	sdl.surv	pemerg	M1	M2	p1	p2	M3	M4	M5	psurv	p3	p4	p5	precr
C0	SB	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
D4	SB	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
B5	SB	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
C5	SB	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
D5	SB	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
C2	SB	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
B3	SB	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
C4	SB	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
D1	SB	2	C	O	1	1	0	1	0	0	0	0.50	0.50	0.00	0.50	1.00	0.50	0.00	0.00	0.00	0.50	1.00	1.00	0.00
I2	SB	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
E1	SB	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
E3	SB	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
G4	SB	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
B10	SB	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
C11	SB	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
D10	SB	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
K7	SB	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
L7	SB	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
M8	SB	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
B6	SB	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
C0	SB	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
D4	SB	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
B5	SB	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
C5	SB	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
D5	SB	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
C2	SB	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
B3	SB	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
C4	SB	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
D1	SB	6	A	O	2	4	0	2	0	0	0	0.00	0.67	0.00	0.33	1.00	0.33	0.00	0.00	0.00	0.67	1.00	1.00	0.00
I2	SB	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
E1	SB	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
E3	SB	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
G4	SB	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
B10	SB	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
C11	SB	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
D10	SB	6	A	O	1	5	0	1	0	0	0	0.00	0.83	0.00	0.17	1.00	0.17	0.00	0.00	0.00	0.83	1.00	1.00	0.00
K7	SB	6	A	O	1	5	0	1	0	0	0	0.00	0.83	0.00	0.17	1.00	0.17	0.00	0.00	0.00	0.83	1.00	1.00	0.00
L7	SB	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
M8	SB	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
B6	SB	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
C0	SB	2	C	E	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
D4	SB	2	C	E	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
B5	SB	2	C	E	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
C5	SB	2	C	E	1	1	0	1	0	0	0	0.00	0.50	0.00	0.50	1.00	0.50	0.00	0.00	0.00	0.50	1.00	1.00	0.00
D5	SB	2	C	E	1	1	0	1	0	0	0	0.00	0.50	0.00	0.50	1.00	0.50	0.00	0.00	0.00	0.50	1.00	1.00	0.00
C2	SB	2	C	E	1	1	0	0	1	0	0	0.00	0.50	0.00	0.50	1.00	0.00	0.50	0.00	0.00	1.00	0.50	1.00	0.00
B3	SB	2	C	E	1	1	0	0	0	0	1	0.00	0.50	0.00	0.50	1.00	0.00	0.00	0.00	0.50	1.00	1.00	1.00	0.50
C4	SB	2	C	E	2	0	0	0	2	0	0	0.00	0.00	0.00	1.00	1.00	0.00	1.00	0.00	0.00	1.00	0.00	1.00	0.00
D1	SB	2	C	E	2	0	0	0	1	0	1	0.00	0.00	0.00	1.00	1.00	0.00	0.50	0.00	0.50	1.00	0.50	1.00	0.50
I2	SB	2	C	E	2	0	0	0	0	0	2	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	1.00	1.00	1.00	1.00	1.00
E1	SB	2	C	E	2	0	0	2	0	0	0	0.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
E3	SB	2	C	E	2	0	0	0	0	0	2	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	1.00	1.00	1.00	1.00	1.00
G4	SB	2	C	E	1	1	0	1	0	0	0	0.00	0.50	0.00	0.50	1.00	0.50	0.00	0.00	0.00	0.50	1.00	1.00	0.00
B10	SB	2	C	E	1	1	0	1	0	0	0	0.00	0.50	0.00	0.50	1.00	0.50	0.00	0.00	0.00	0.50	1.00	1.00	0.00
C11	SB	2	C	E	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
D10	SB	2	C	E	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
K7	SB	2	C	E	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
L7	SB	2	C	E	1	1	0	0	0	0	1	0.00	0.50	0.00	0.50	1.00	0.00	0.00	0.00	0.50	1.00	1.00	1.00	0.50
M8	SB	2	C	E	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
B6	SB	2	C	E	2	0	0	1	1	0	0	0.00	0.00	0.00	1.00	1.00	0.50	0.50	0.00	0.00	0.50	0.50	1.00	0.00
C0	SB	6	A	E	3	3	0	1	1	0	1	0.00	0.50	0.00	0.50	1.00	0.17	0.17	0.00	0.17	0.83	0.83	1.00	0.17
